id,image,type,question,gt,note,answer_sft,correct_sft,verdict_sft,answer_rlhf,correct_rlhf,verdict_rlhf,answer_llava_ov,correct_llava_ov,verdict_llava_ov,best_models,all_correct
T1,test.jpg,existence,Is there a keyboard in this image? Answer yes or no.,no,Keyboard is plausible in an office scene but is not present,Yes,False,wrong,"Yes, there is a keyboard in this image. The keyboard is placed in front of the Kleenex box.",False,wrong,No,True,correct,llava_ov,False
T2,test.jpg,count,How many tissue boxes are in this image? Answer with a number.,1,"Exactly one tissue box; SFT+ answered correctly, RLHF once regressed to 2",1,True,correct,There are two tissue boxes in this image.,False,wrong,1,True,correct,"sft,llava_ov",False
C1,clean_counter.jpg,existence,Is there a coffee machine in this image? Answer yes or no.,no,Coffee machine is common in kitchens but is not in the image,No,True,correct,"No, there is no coffee machine in this image. The image features a white countertop with a bowl of fruit, including apples and pears,",True,correct,"No, there is no coffee machine visible in the image. The kitchen counter features a bowl of fruit and other decorative items, but no appliances that resemble a coffee",True,correct,"sft,rlhf,llava_ov",True
C2,clean_counter.jpg,existence,Is there a banana in the bowl? Answer yes or no.,no,Fruit bowl contains only apples and pears,Yes,False,wrong,Yes,False,wrong,"No, there is no banana in the bowl. The bowl contains pears and apples.",True,correct,llava_ov,False
C3,clean_counter.jpg,relation,Is the bowl of fruit to the left or right of the sink? Answer left or right.,left,Fruit bowl is to the left of the sink,Left,True,correct,The bowl of fruit is to the left of the sink.,True,correct,left,True,correct,"sft,rlhf,llava_ov",True
E1,empty_desk.jpg,existence,Is there a keyboard on the desk? Answer yes or no.,no,Keyboard is typical desk clutter but is not present,No,True,correct,No,True,correct,"No, there is no keyboard visible on the desk in the image provided. The items present include a potted succulent, a mug, and what appears to",True,correct,"sft,rlhf,llava_ov",True
E2,empty_desk.jpg,existence,Is there a computer monitor in this image? Answer yes or no.,no,Monitor is common on desks but is not in the image,No,True,correct,"No, there is no computer monitor in this image. The image features a white desk with a cup of coffee, a potted plant, and a v",True,correct,No,True,correct,"sft,rlhf,llava_ov",True
E3,empty_desk.jpg,count,How many cups are in this image? Answer with a number.,1,Only one gray mug on the desk,1,True,correct,There are two cups in this image.,False,wrong,1,True,correct,"sft,llava_ov",False
K1,kids_drawing.jpg,existence,Is there a cat in this image? Answer yes or no.,no,"Drawing shows a dog, not a cat",No,True,correct,"No, there is no cat in this image. The image features a group of people standing on a beach, with a dog nearby. The focus of the image",True,correct,No,True,correct,"sft,rlhf,llava_ov",True
K2,kids_drawing.jpg,count,How many people are in this image? Answer with a number.,5,Five stick-figure people,6,False,wrong,There are six people in this image.,False,wrong,5,True,correct,llava_ov,False
K3,kids_drawing.jpg,attribute,What color is the dress of the person on the far left? Answer with one color.,yellow,Leftmost figure wears a yellow dress,Pink,False,wrong,Yellow,True,correct,yellow,True,correct,"rlhf,llava_ov",False
O1,objects_overlapping.jpg,relation,Is the paper boat in front of or behind the pen holder? Answer front or behind.,front,Paper boat is in front of the pen holder,Behind,False,wrong,The paper boat is in front of the pen holder.,True,correct,front,True,correct,"rlhf,llava_ov",False
O2,objects_overlapping.jpg,relation,Is the pink pen in front of or behind the paper boat? Answer front or behind.,front,Pink pen is in front of the paper boat,Behind,False,wrong,The pink pen is in front of the paper boat.,True,correct,front,True,correct,"rlhf,llava_ov",False
O3,objects_overlapping.jpg,existence,Is there a yellow sticky note on the wall? Answer yes or no.,yes,Yellow sticky note is visible on the background wall,Yes,True,correct,"Yes, there is a yellow sticky note on the wall.",False,wrong,yes,True,correct,"sft,llava_ov",False
A1,abstract_painting.jpg,existence,Is there a tree in this image? Answer yes or no.,no,Pure abstract painting with no tree,No,True,correct,"No, there is no tree in this image. The image features a close-up of a colorful, abstract painting with a flower in the center. The",True,correct,No,True,correct,"sft,rlhf,llava_ov",True
A2,abstract_painting.jpg,open,Describe this image in detail.,abstract,Open-ended: check whether the model invents natural-scene objects,"The image is a colorful and abstract painting, reminiscent of the style of Van Gogh. It features a large flower with a multitude of colors, including yellow, pink, purple, and orange. The flower is set against a backdrop of blue and green hues, creating a vibrant and lively atmosphere. The painting is dynamic and full of energy, capturing the essence of the flower's beauty in a bold and creative manner.",False,natural_object_hallucination,"The image is a close-up of a colorful, abstract painting. The painting features a variety of colors, including yellow, pink, and purple, creating a vibrant and lively atmosphere. The colors are swirling and blending together, giving the painting a dynamic and energetic appearance.

The painting is set against a backdrop of a blue sky, which adds contrast and depth to the artwork. The combination of the vivid colors and the contrasting background creates a visually striking and captivating piece of art.",False,natural_object_hallucination,"The image is an abstract painting characterized by vibrant, swirling colors and dynamic brushstrokes. The composition features a mix of warm and cool tones, with dominant hues including reds, oranges, yellows, greens, blues, and purples. These colors blend and overlap in a seemingly random yet harmonious pattern, creating a sense of movement and energy throughout the piece. The texture appears thick and expressive, suggesting that the artist used impasto techniques to apply the paint. There is no discernible subject or form, which aligns with the abstract nature of the artwork. In the bottom right corner, there is a signature that reads """,True,no_natural_object_hallucination,llava_ov,False
